"REF_DATE","GEO","DGUID","Interprovincial migration","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","10797","","","","0"
"2008-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12655","","","","0"
"2008-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17506","","","","0"
"2008-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","20001","","","","0"
"2008-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","9541","","","","0"
"2009-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12767","","","","0"
"2009-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15149","","","","0"
"2009-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18343","","","","0"
"2009-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","10431","","","","0"
"2010-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13444","","","","0"
"2010-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17523","","","","0"
"2010-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18920","","","","0"
"2010-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","11178","","","","0"
"2011-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12362","","","","0"
"2011-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15857","","","","0"
"2011-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21751","","","","0"
"2011-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","11722","","","","0"
"2012-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13990","","","","0"
"2012-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18469","","","","0"
"2012-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18837","","","","0"
"2012-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","10365","","","","0"
"2013-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","11865","","","","0"
"2013-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","20640","","","","0"
"2013-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","19031","","","","0"
"2013-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12002","","","","0"
"2014-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12726","","","","0"
"2014-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","20079","","","","0"
"2014-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","19289","","","","0"
"2014-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","11332","","","","0"
"2015-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15075","","","","0"
"2015-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","24225","","","","0"
"2015-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","23363","","","","0"
"2015-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","11738","","","","0"
"2016-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16649","","","","0"
"2016-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","26128","","","","0"
"2016-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","25566","","","","0"
"2016-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","11659","","","","0"
"2017-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16269","","","","0"
"2017-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","24933","","","","0"
"2017-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21261","","","","0"
"2017-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13392","","","","0"
"2018-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16582","","","","0"
"2018-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","25192","","","","0"
"2018-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21370","","","","0"
"2018-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13802","","","","0"
