"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","21111","","","","0"
"1999-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","26277","","","","0"
"1999-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","30234","","","","0"
"1999-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","26543","","","","0"
"2000-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","25413","","","","0"
"2000-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","34554","","","","0"
"2000-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","39990","","","","0"
"2000-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","33545","","","","0"
"2001-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","34801","","","","0"
"2001-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","41662","","","","0"
"2001-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","42152","","","","0"
"2001-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","30039","","","","0"
"2002-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","36136","","","","0"
"2002-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","44496","","","","0"
"2002-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","30426","","","","0"
"2002-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","22532","","","","0"
"2003-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","24990","","","","0"
"2003-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","31866","","","","0"
"2003-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","34239","","","","0"
"2003-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","28638","","","","0"
"2004-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","28719","","","","0"
"2004-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","36346","","","","0"
"2004-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","34733","","","","0"
"2004-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","25298","","","","0"
"2005-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","29269","","","","0"
"2005-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","40485","","","","0"
"2005-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","40541","","","","0"
"2005-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","30238","","","","0"
"2006-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","27367","","","","0"
"2006-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","34916","","","","0"
